Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
as,"olarak, gibi, dahi",bağlaç,B1,,Do as I tell you.,Sana söylediğim gibi yap.
because,"çünkü, -dığı için, zira",bağlaç,B2,,I came because of Tom.,Tom'dan dolayı geldim.
hence,"buradan, bunun sonucu olarak, bundan",bağlaç,B1,,"Hence rigorous clinical testing, some uncertainty remained.",Kapsamlı klinik testlere rağmen / esnasında (buradan) bazı belirsizlikler devam etti.
since,"ondan sonra, o zamandan beri, sonradan",bağlaç,B1,,I've been up since 2:30.,2:30'dan beri ayaktayım.
therefore,"bu sebeple, bu yüzden, bu nedenle",bağlaç,B2,,"Therefore, it is necessary to reduce the cost.","Bu nedenle, maliyetin düşürülmesi gereklidir."
